"name_full","name_sort","year_born","year_died","is_dead","org_acronym"
"Kevin Nash","Kevin Nash",,,"0","TNA"
"Kevin Northcutt","Kevin Northcutt",,,"0","TNA"
"Kevin Sullivan","Kevin Sullivan","1949","2024","1","TNA"
"Kid Kash","Kid Kash",,,"0","TNA"
"Kid Romeo","Kid Romeo",,,"0","TNA"
"Kip James","Kip James",,,"0","TNA"
"Ron Killings","Ron Killings",,,"0","TNA"
"Konnan","Konnan",,,"0","TNA"
"Kurt Angle","Kurt Angle",,,"0","TNA"
"L.A. Park","L.A. Park",,,"0","TNA"
"Lance Hoyt","Lance Hoyt",,,"0","TNA"
"Larry Zbyszko","Larry Zbyszko",,,"0","TNA"
"Lash LeRoux","Lash LeRoux",,,"0","TNA"
"The L.A.X.","L.A.X.",,,"0","TNA"
"Lazz","Lazz",,,"0","TNA"
"Legend","Legend",,,"0","TNA"
"Lenny Lane","Lenny Lane",,,"0","TNA"
"Lex Lovett","Lex Lovett",,,"0","TNA"
"Lex Luger","Lex Luger",,,"0","TNA"
"Mad Mikey","Mad Mikey","1971","2003","1","TNA"
"Magno","Magno",,,"0","TNA"
"Malice","Malice","1966","2003","1","TNA"
"Mascarita Sagrada","Mascarita Sagrada",,,"0","TNA"
"The Masked Bullet","Masked Bullet",,,"0","TNA"
"The Masked Luchadore","Masked Luchadore",,,"0","TNA"
"Matt Morgan","Matt Morgan",,,"0","TNA"
"Matt Striker","Matt Striker",,,"0","TNA"
"Matt Sydal","Matt Sydal",,,"0","TNA"
"Meatball","Meatball",,,"0","TNA"
"Michael Shane","Michael Shane",,,"0","TNA"
"Mike Awesome","Mike Awesome","1965","2007","1","TNA"
"Mike Sanders","Mike Sanders",,,"0","TNA"
"Mikey Batts","Mikey Batts",,,"0","TNA"
"Mikey Whipwreck","Mikey Whipwreck",,,"0","TNA"
"Mini Pierroth","Mini Pierroth",,,"0","TNA"
"Minoru Tanaka","Minoru Tanaka",,,"0","TNA"
"Miyamoto","Miyamoto",,,"0","TNA"
"Monty Brown","Monty Brown",,,"0","TNA"
"Mr. Aguila","Mr. Aguila",,,"0","TNA"
"Mr. X","Mr. X",,,"0","TNA"
"New Jack","New Jack","1963","2021","1","TNA"
"Nigel McGuinness","Nigel McGuinness",,,"0","TNA"
"Norman Smiley","Norman Smiley",,,"0","TNA"
"Nosawa","Nosawa",,,"0","TNA"
"ODB","ODB",,,"0","TNA"
"Onyx","Onyx",,,"0","TNA"
"Pacman Jones","Pacman Jones",,,"0","TNA"
"Paparazzi Productions","Paparazzi Productions",,,"0","TNA"
"Paul London","Paul London",,,"0","TNA"
"Payton Banks","Payton Banks",,,"0","TNA"
"Perry Saturn","Perry Saturn",,,"0","TNA"
"Petey Williams","Petey Williams",,,"0","TNA"
"Piratita Morgan","Piratita Morgan","1969","2018","1","TNA"
"Planet Jarrett","Planet Jarrett",,,"0","TNA"
"Psicosis","Psicosis",,,"0","TNA"
"Puma","Puma",,,"0","TNA"
"Puppet","Puppet","1966","2020","1","TNA"
"Raisha Saeed","Raisha Saeed",,,"0","TNA"
"""Macho Man"" Randy Savage","Macho Man Randy Savage","1952","2011","1","TNA"
"Raven","Raven",,,"0","TNA"
"Rellik","Rellik",,,"0","TNA"
"Rhaka Khan","Rhaka Khan",,,"0","TNA"
"Rhino","Rhino",,,"0","TNA"
"Rick Steiner","Rick Steiner",,,"0","TNA"
"Ricky Morton","Ricky Morton",,,"0","TNA"
"Ricky Steamboat","Ricky Steamboat",,,"0","TNA"
"Road Warrior Animal","Road Warrior Animal","1960","2020","1","TNA"
"Bobby Roode","Bobby Roode",,,"0","TNA"
"Rod Steele","Rod Steele","1958","2011","1","TNA"
"Roderick Strong","Roderick Strong",,,"0","TNA"
"Ron Harris","Ron Harris",,,"0","TNA"
"Rowdy Roddy Piper","Rowdy Roddy Piper","1954","2015","1","TNA"
"Roxxi","Roxxi",,,"0","TNA"
"Kon","Kon",,,"0","TNA"
"S.E.X.","S.E.X.",,,"0","TNA"
"Sabu","Sabu",,,"0","TNA"
"Salinas","Salinas",,,"0","TNA"
"Samoa Joe","Samoa Joe",,,"0","TNA"
"The Sandman","Sandman",,,"0","TNA"
"Scott D'Amore","Scott D'Amore",,,"0","TNA"
"Scott Hall","Scott Hall","1958","2022","1","TNA"
"Scott Steiner","Scott Steiner",,,"0","TNA"
"Sean Waltman","Sean Waltman",,,"0","TNA"
"Low Ki","Low Ki",,,"0","TNA"
"Serotonin","Serotonin",,,"0","TNA"
"Shane Douglas","Shane Douglas",,,"0","TNA"
"Shannon Moore","Shannon Moore",,,"0","TNA"
"Shark Boy","Shark Boy",,,"0","TNA"
"Sharmell","Sharmell",,,"0","TNA"
"Shocker","Shocker",,,"0","TNA"
"Short Sleeve Sampson","Short Sleeve Sampson",,,"0","TNA"
"Simon Diamond","Simon Diamond",,,"0","TNA"
"Simply Luscious","Simply Luscious",,,"0","TNA"
"Sinn Bodhi","Sinn Bodhi",,,"0","TNA"
"Sirelda","Sirelda",,,"0","TNA"
"Slash","Slash",,,"0","TNA"
"Slim J","Slim J",,,"0","TNA"
"SoCal Val","SoCal Val",,,"0","TNA"
"Sonjay Dutt","Sonjay Dutt",,,"0","TNA"
"Sonny Siaki","Sonny Siaki",,,"0","TNA"
"Spanky","Spanky",,,"0","TNA"
"Steve Corino","Steve Corino",,,"0","TNA"
"Sting","Sting",,,"0","TNA"
"Super Crazy","Super Crazy",,,"0","TNA"
"Takao Omori","Takao Omori",,,"0","TNA"
"Taylor Vaughn","Taylor Vaughn",,,"0","TNA"
"Team Canada","Team Canada",,,"0","TNA"
